"Var1","Freq"
"2016-11-08",268
"2016-11-09",198
"2016-11-10",277
"2016-11-11",448
"2016-11-12",927
"2016-11-13",772
"2016-11-14",258
"2016-11-15",233
"2016-11-16",228
"2016-11-17",314
"2016-11-18",617
"2016-11-19",1036
"2016-11-20",613
"2016-11-21",228
"2016-11-22",215
"2016-11-23",358
"2016-11-24",771
"2016-11-25",797
"2016-11-26",750
"2016-11-27",711
"2016-11-28",209
"2016-11-29",199
"2016-11-30",187
"2016-12-01",287
"2016-12-02",475
"2016-12-03",917
"2016-12-04",873
"2016-12-05",252
"2016-12-06",282
"2016-12-07",264
"2016-12-08",197
"2016-12-09",502
"2016-12-10",896
"2016-12-11",868
"2016-12-12",283
"2016-12-13",264
"2016-12-14",281
"2016-12-15",298
"2016-12-16",471
"2016-12-17",843
"2016-12-18",940
"2016-12-19",278
"2016-12-20",274
"2016-12-21",251
"2016-12-22",301
"2016-12-23",439
"2016-12-24",736
"2016-12-25",1060
"2016-12-26",349
"2016-12-27",322
"2016-12-28",359
"2016-12-29",356
"2016-12-30",581
"2016-12-31",683
